[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,40031144.98,04/08/2024,6:48 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E4,MOTOR_HW_VERSION
INFO,MMC433,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 E1,VSM_HW_VERSION
INFO,354,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,339,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-200 D0,OVEN_HW_VERSION
INFO,OVN180,OVEN_SERIAL_NUMBER
INFO,01.01.00,OVEN_SOFTWARE_VERSION
INFO,LB602,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Ni5e11 out-of-plane,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,40031238.385,29.99426935,3909.21606445313,-0.690136135031644,0.000147772206274274,1,0.999253354069792,40.0298881530762,2.00232623587396,11.5799997001886,-3.50428619936996,-0.794090850789257,25,-0.0106504259928629,-0.650760030072222,-0.0313906860814185,29.9942207,29.994318,3898.759765625,3919.67236328125,48.9182208760629,18.4205978899814,7.799073,0,0,0,40,4961,30.0548,3909.21606445313,,,,,,,,,,,,,0,,,,1.068772,,,,,,29.99426935,,,,
,40031240.97,29.9943218,4090.58422851562,-0.695708832240444,0.000111078645651314,1,0.999253354069792,40.0298881530762,2.00223376006236,11.5900002419949,-3.53281885160846,-0.799847314932362,25,-0.010567534749872,-0.656065856201777,-0.0315210581367065,29.9943218,29.9943218,4080.0341796875,4101.13427734375,48.7564237725821,18.4211053150882,7.799073,0,0,0,40,4961,30.0552,4090.58422851562,,,,,,,,,,,,,0,,,,1.068772,,,,,,29.9943218,,,,
,40031243.82,29.9943295,4286.0732421875,-0.697441867737213,7.78059652615911E-5,1,0.999253354069792,40.0298881530762,2.00209384919828,11.5799997001886,-3.54159751715078,-0.802112446805909,25,-0.0106068576605067,-0.657749666193848,-0.0316511125333389,29.9943295,29.9943295,4275.55517578125,4296.59130859375,48.8111377689282,18.4231832305692,7.799073,0,0,0,40,4961,30.0554,4286.0732421875,,,,,,,,,,,,,0,,,,1.08502975,,,,,,29.9943295,,,,
,40031246.455,29.99418165,4470.9365234375,-0.695980084380879,9.31183098065115E-5,1,0.999253354069792,40.0298881530762,2.00239204066243,11.5799997001886,-3.53489144709721,-0.800879251687534,25,-0.0106013355439442,-0.656417885966884,-0.0316375933656195,29.9941006,29.9942627,4456.9072265625,4484.9658203125,49.4809934099091,18.4251497575901,7.059639,0,0,0,40,4961,30.0551,4470.9365234375,,,,,,,,,,,,,0,,,,1.07955625,,,,,,29.99418165,,,,
,40031249.265,29.9939995,4666.92016601562,-0.693394308637022,8.09569015377424E-5,1,0.999253354069792,40.0298881530762,2.00223695714703,11.5799997001886,-3.52185481020274,-0.797519992298612,25,-0.0104465704489859,-0.654033632414289,-0.0314508610046914,29.9939995,29.9939995,4653.01513671875,4680.8251953125,48.0404520489666,18.4246398327563,7.799073,0,0,0,40,4961,30.0558,4666.92016601562,,,,,,,,,,,,,0,,,,1.068772,,,,,,29.9939995,,,,
,40031251.91,29.9941425,4851.9912109375,-0.687891852467367,0.00013015801508162,1,0.999253354069792,40.0298881530762,2.00230390635448,11.5799997001886,-3.49416430229144,-0.791850609892777,25,-0.0104393917549362,-0.648889091916503,-0.0313098986634797,29.9941425,29.9941425,4841.47412109375,4862.50830078125,48.830678481909,18.422133806066,7.059639,0,0,0,40,4961,30.056,4851.9912109375,,,,,,,,,,,,,0,,,,1.068772,,,,,,29.9941425,,,,
,40031254.585,29.9939346,5040.578125,-0.680883712665471,0.00015138683745505,1,0.999253354069792,40.0298881530762,2.00212871868666,11.5799997001886,-3.45859927759355,-0.783497927644883,25,-0.0102408235594429,-0.64233000017616,-0.0309415502331068,29.9939346,29.9939346,5023.08447265625,5058.07177734375,49.362185874986,18.4232535574502,7.059639,0,0,0,40,4961,30.05635,5040.578125,,,,,,,,,,,,,0,,,,1.07955625,,,,,,29.9939346,,,,
,40031257.23,29.9943562,5225.55517578125,-0.675749815047523,0.000149938231562931,1,0.999253354069792,40.0298881530762,2.00198798055079,11.570000089705,-3.43245563935565,-0.778042845113385,25,-0.0102147388069281,-0.637533033156302,-0.0307932414794015,29.9943562,29.9943562,5211.6572265625,5239.453125,49.3801633309283,18.4254439311352,7.059639,0,0,0,40,4961,30.05655,5225.55517578125,,,,,,,,,,,,,0,,,,1.068772,,,,,,29.9943562,,,,
,40031260.19,29.9946194,5431.62426757812,-0.66706129165528,0.000163048949350214,1,0.999253354069792,40.0298881530762,2.00207302002055,11.5900002419949,-3.38879001833767,-0.767971314868982,25,-0.0100107295971934,-0.629391182972037,-0.0303692217427819,29.9946194,29.9946194,5421.06787109375,5442.1806640625,48.6524671795244,18.4264670652538,7.059639,0,0,0,40,4961,30.05675,5431.62426757812,,,,,,,,,,,,,0,,,,1.068772,,,,,,29.9946194,,,,
,40031262.745,29.9944372,5609.97412109375,-0.657838151700387,0.000180912180051989,1,0.999253354069792,40.0298881530762,2.00223846522925,11.5900002419949,-3.34237479236071,-0.757856841813688,25,-0.00991356996715499,-0.620733327151761,-0.030023028870098,29.9943905,29.9944839,5603.04443359375,5616.90380859375,49.084707750659,18.4282336641037,7.799073,0,0,0,40,4961,30.0572,5609.97412109375,,,,,,,,,,,,,0,,,,1.0903405,,,,,,29.9944372,,,,
