R(H = 0.3),T(H = 0.3),R(H = 1.0),T(H = 1.0),R(H = 3.0),T(H = 3.0),R(H = 9.0),T(H = 9.0)
7.65678126198865e-08,86.27658845,0.0019124468944156,86.4083824,0.0024178917120244,84.4085541,0.002508438577827,82.4352875
5.66120431632617e-08,86.1906853,0.0017606300564735,86.3311005,0.0024029055080681,84.33180235,0.0025060746316745,82.36623
3.35338090388425e-08,86.10847095,0.001607631319832,86.2536774,0.0023813410209372,84.24043275,0.0025028177038798,82.29214095
4.05010924566118e-08,86.01800155,0.0014102404976178,86.16893385,0.0023627525337661,84.15792465,0.0024994594690543,82.20566175
3.80219683556554e-08,85.9238167,0.0011659852641534,86.0683632,0.0023351352287906,84.0726776,0.0024955070348471,82.116745
4.33955030072278e-08,85.83775715,0.0009326227643894,85.9800034,0.0023005897130449,83.9744911,0.0024922584719198,82.03339765
3.42027479404753e-08,85.7438545,0.0007225727573823,85.88705065,0.0022698816966728,83.89821625,0.0024885198874976,81.9457588
4.73248661745114e-08,85.6557846,0.0005724847224485,85.8155403,0.0022241220364146,83.8143616,0.002485149339081,81.86416625
2.06204259803302e-08,85.56368255,0.0003772292364241,85.693161,0.0021821063766031,83.74121475,0.0024815011202345,81.77879715
3.30751261045541e-08,85.47897725,0.0002310096574457,85.59294895,0.0020997036761994,83.62716675,0.0024784272873194,81.70134735
1.73140948698252e-08,85.38596345,0.0001551068934832,85.5082817,0.0020400375036783,83.55252455,0.0024752146650037,81.6246414
3.87126965065295e-08,85.2935753,9.68260427086707e-05,85.4169922,0.0019641555528379,83.47272875,0.0024718725699646,81.54899975
1.23800853400151e-08,85.20284655,5.92749511755586e-05,85.3368149,0.0018679659403737,83.3889046,0.002468572489879,81.4690895
4.26936408325689e-08,85.1157303,3.41955398149024e-05,85.2347374,0.0017562331506089,83.2966385,0.0024654112991875,81.3917885
5.68506055318367e-08,85.01711655,1.97210893708474e-05,85.1407776,0.0016511308044587,83.2110405,0.0024612940711792,81.3076744
2.05781498416508e-08,84.9099083,1.0663136572185e-05,85.04803465,0.0015273237159485,83.12962725,0.0024570999701015,81.21875
3.93436783216308e-08,84.80596925,5.70809635390977e-06,84.95711515,0.0013806954895771,83.0298042,0.0024535786159776,81.1357574
5.548684899762191e-09,84.70039365,2.88964095880403e-06,84.8627052,0.0012414934777873,82.946434,0.0024505185543729,81.06414795
-1.92190615550677e-08,84.6180458,1.50258596379281e-06,84.7674065,0.0010920382859584,82.85594175,0.0024467882848331,80.98757935
1.38383940917321e-08,84.52884675,8.98799095015541e-07,84.68834305,0.0009431467884295,82.7652016,0.0024429488184137,80.90866085
3.83945099968105e-08,84.4325104,4.59684059594483e-07,84.59597395,0.0008331695622611,82.6895752,0.0024398889046666,80.8421402
3.16916388494401e-08,84.34412,2.58023819487919e-07,84.51249695,0.0007150763813942,82.6120224,0.0024361385581695,80.7677765
1.12338679731713e-08,84.26000595,1.35660802321233e-07,84.42724225,0.0005850958849118,82.52490615,0.0024327827970368,80.69424435
1.98738833373766e-08,84.15976715,1.20840964718442e-07,84.33662415,0.000461262607751,82.41082,0.0024293396983518,80.62382125
4.70775272802965e-08,84.07699585,7.38958919838214e-08,84.2447624,0.0003512266353901,82.32100295,0.0024250463475738,80.54634855
3.42599943389916e-08,83.996418,5.24783971446073e-08,84.14929965,0.0002700036229103,82.23106765,0.0024210553007192,80.46936035
3.88404587737264e-08,83.90325925,5.69489983020639e-08,84.0581131,0.0002049736943992,82.13974,0.0024176366221466,80.40014265
9.471321460691922e-09,83.80798335,5.07791243782052e-08,83.95381545,0.0001491357288821,82.0436325,0.0024138112742328,80.32767105
4.15037810916685e-08,83.714756,3.32494381573308e-08,83.869297,0.0001115735123667,81.95713425,0.0024098061457346,80.25857165
4.44076755797364e-08,83.62829975,2.85781956603149e-08,83.7867737,7.94957075815813e-05,81.8567009,0.0024062156764483,80.19021225
2.40544692930103e-08,83.5343323,8.19558581065629e-08,83.69592285,5.41267804997013e-05,81.75592425,0.0024017755862882,80.116745
4.27723197588125e-08,83.44815065,5.65290016534221e-08,83.60488895,3.83055808002707e-05,81.6734085,0.0023972508161127,80.0412979
3.50536956336674e-08,83.3672104,4.72669561489705e-08,83.517971,2.581952766663e-05,81.56920245,0.0023931072753758,79.9729385
3.31316126440811e-08,83.29122925,3.64126411376046e-08,83.42775725,1.78348249237696e-05,81.48721315,0.0023884991444442,79.90059665
3.62769591527146e-08,83.24775695,3.81073603339404e-08,83.33590315,1.29565205525331e-05,81.40941235,0.002383951113983,79.82847215
1.29371855121941e-08,83.23164365,4.24218777977359e-08,83.24446105,8.23156470814371e-06,81.3097534,0.0023798774994797,79.76371385
2.00878565982957e-08,83.20905685,7.16262977331722e-09,83.1539345,5.50754969281134e-06,81.2176361,0.0023744211706345,79.68834685
3.916292937799361e-09,83.1884651,4.86177546801816e-08,83.0613594,3.81568154664703e-06,81.12841795,0.0023697824497197,79.6248779
2.87795835904517e-08,83.1823654,1.08227384192464e-08,82.97627255,2.70736321987658e-06,81.05469895,0.0023643979896406,79.552578
,,2.00135414537782e-08,82.8710823,1.83473085608509e-06,80.97118375,0.0023590184884921,79.4808235
,,1.5680800423587e-08,82.7561951,1.26715743742519e-06,80.8889122,0.0023541391649987,79.41411975
,,1.9206055178027e-08,82.6505356,8.71799673137694e-07,80.8066559,0.0023478559888866,79.339695
,,4.8686250128372e-08,82.5296173,6.26968672518446e-07,80.7366905,0.0023419788935946,79.27231215
,,4.68026548081258e-08,82.4170418,4.57606970018552e-07,80.65250775,0.0023359887654834,79.207901
,,3.09891491846933e-08,82.32387545,3.22147603671573e-07,80.5710411,0.0023286236579657,79.1321831
,,1.7874097701394e-08,82.2393341,2.04175669829887e-07,80.4980507,0.0023212252602263,79.0600586
,,3.88829954177071e-08,82.14689255,1.76410245176295e-07,80.43033215,0.0023152527096992,78.9966431
,,3.28728607062319e-08,82.0541992,7.97297683377718e-08,80.335247,0.0023085439539355,78.93529895
,,1.36795607219639e-08,81.9529381,1.50122265393892e-07,80.26210025,0.0022984834140642,78.8569832
,,1.91842883199443e-08,81.8661957,9.84441419428387e-08,80.17056275,0.0022889091173542,78.77931595
,,1.50839351202426e-08,81.7781906,6.2474444977502e-08,80.08667375,0.0022803699214404,78.7117844
,,3.09466703405888e-08,81.68933485,6.17561516314468e-08,80.00460815,0.0022705356434351,78.6434288
,,2.78456883614675e-08,81.5978279,5.64866693802977e-08,79.9328003,0.0022594502235576,78.5688782
,,1.51509615031024e-08,81.50858685,8.74291926669393e-08,79.83695985,0.0022497630363244,78.5027847
,,-2.74680259414244e-09,81.41796495,4.82667273572633e-08,79.73940275,0.0022347281223522,78.4241219
,,4.79234525719847e-08,81.3219185,5.76384812704879e-08,79.65618135,0.0022212774570152,78.3532448
,,1.78171267145921e-08,81.24067685,6.4936599669669e-08,79.5897484,0.0022082264515801,78.2793388
,,3.79701122720152e-08,81.15394595,4.46706123195068e-08,79.50581745,0.0021937886401781,78.21440505
,,2.83695271259924e-08,81.07043455,4.93055144072315e-08,79.424057,0.0021759837670941,78.14037705
,,2.8728004741662e-08,80.986702,2.67404828690095e-08,79.33667375,0.002154972201189,78.06072615
,,1.57870440982744e-08,80.9058151,7.04816799990107e-08,79.2571678,0.0021397075507881,77.99689485
,,3.35416090031983e-08,80.8291931,4.02986515586836e-08,79.18237685,0.0021155617916489,77.9204178
,,2.57587959253293e-08,80.7523193,3.26252785413342e-08,79.09810255,0.0020924020811442,77.84936145
,,3.47572107262653e-08,80.6743317,4.65718450249913e-08,79.01855085,0.0020681021044958,77.7793045
,,3.06730537851544e-08,80.6006813,2.39851836815255e-08,78.9430466,0.0020454284973453,77.7157326
,,8.990185203639281e-09,80.5176239,3.76977629380147e-08,78.8733215,0.0020130360349212,77.64123535
,,1.92913524738813e-08,80.4399376,3.37142429868063e-08,78.7992668,0.00198219497708,77.5710869
,,1.62430965826134e-08,80.3723373,3.22251120083719e-08,78.7206116,0.0019545406037029,77.5064316
,,4.3022903096084e-08,80.29581835,2.92312530623496e-08,78.64212035,0.0019133799335087,77.4310188
,,4.93097017672759e-09,80.21966935,4.2704086448553e-08,78.57627865,0.0018726284777036,77.3584938
,,1.80871554321796e-08,80.13911055,3.25469502433102e-08,78.4982796,0.0018318130785924,77.28824235
,,3.91472445990107e-08,80.05687335,5.57133972436185e-08,78.42136,0.0017893751175534,77.2254829
,,2.1273077168314e-08,79.97530745,3.86801393777639e-08,78.33634565,0.0017342893588579,77.1490326
,,3.38169559060189e-08,79.9032707,4.39464359867315e-08,78.2660637,0.0016861214601301,77.07815555
,,3.23416548481726e-08,79.8148003,1.22864238697643e-08,78.1794357,0.0016335610151795,77.01358795
,,4.1671408344004105e-09,79.7397766,3.98855691533057e-08,78.1004524,0.0015577740051445,76.9210815
,,2.06608053958846e-08,79.671772,2.17420708626419e-08,78.0058899,0.0014998016516404,76.85420225
,,1.76220003809299e-08,79.5902977,3.80120492727245e-08,77.9384117,0.0014326800350236,76.78256225
,,2.60554070303098e-08,79.5036545,3.45455153592228e-08,77.8596039,0.001365076391687,76.7134247
,,3.6711917397708e-08,79.42835615,2.97664654934142e-08,77.77578735,0.0012929653096228,76.64102935
,,2.48451209512868e-08,79.36544035,3.96268889007594e-08,77.6988144,0.0012182964012508,76.56718445
,,1.00164777339801e-08,79.28721235,-4.5502164839408705e-09,77.6044388,0.0011270241876648,76.4848747
,,2.80958109367043e-08,79.20873645,2.42755739648728e-08,77.51337435,0.0010512034614446,76.4107132
,,2.89599769405633e-08,79.12269975,2.85750978104252e-08,77.43709185,0.0009786300740785,76.3402252
