,time1,CH1,CH2,CH3,CH23,time_step,time_delay,I_base,I_step
85,174.00000000000003,-12.280000000000001,-0.185,-0.23249999999999899,0.047499999999999,2.0,1000.0,1.0,90.0
86,176.0,-12.585,-0.129999999999999,-0.1525,0.0225,2.0,1000.0,1.0,90.0
87,178.0,-12.85,0.22499999999999998,0.165,0.06,2.0,1000.0,1.0,90.0
88,180.0,-12.495000000000005,-0.074999999999999,-0.09499999999999899,0.02,2.0,1000.0,1.0,90.0
89,182.0,-12.4075,-0.1,-0.1775,0.077499999999999,2.0,1000.0,1.0,90.0
90,184.0,-12.5425,0.032499999999999,-0.0375,0.07,2.0,1000.0,1.0,90.0
91,186.0,-12.882499999999999,0.10250000000000001,0.057499999999999996,0.044999999999999,2.0,1000.0,1.0,90.0
92,188.0,-13.122499999999999,0.235,0.1925,0.042499999999999,2.0,1000.0,1.0,90.0
93,190.0,-12.822499999999998,0.034999999999999,-0.0075,0.042499999999999,2.0,1000.0,1.0,90.0
94,192.00000000000003,-12.677500000000002,0.07250000000000001,0.034999999999999,0.0375,2.0,1000.0,1.0,90.0
95,194.0,-12.5975,0.44499999999999995,0.3975,0.0475,2.0,1000.0,1.0,90.0
96,196.0,-12.777500000000002,0.65,0.53,0.119999999999999,2.0,1000.0,1.0,90.0
97,198.0,-12.5225,0.645,0.492499999999999,0.1525,2.0,1000.0,1.0,90.0
98,200.0,-12.5125,0.8425,0.67,0.17250000000000001,2.0,1000.0,1.0,90.0
99,202.00000000000003,-12.85,0.9550000000000001,0.74,0.21499999999999997,2.0,1000.0,1.0,90.0
100,204.0,-12.752500000000001,1.0425,0.8225,0.21999999999999997,2.0,1000.0,1.0,90.0
101,206.0,-12.517499999999998,1.1,0.8400000000000001,0.26,2.0,1000.0,1.0,90.0
102,208.0,-12.355,1.32,1.025,0.295,2.0,1000.0,1.0,90.0
103,210.0,-12.532499999999999,1.545,1.2175,0.32749999999999896,2.0,1000.0,1.0,90.0
104,212.00000000000003,-12.552500000000002,1.6225,1.2725,0.35000000000000003,2.0,1000.0,1.0,90.0
105,214.0,-12.792500000000002,1.9525000000000001,1.58,0.3725,2.0,1000.0,1.0,90.0
106,216.0,-12.595,2.0125,1.595,0.41750000000000004,2.0,1000.0,1.0,90.0
107,218.0,-12.455,1.8900000000000001,1.4549999999999998,0.43499999999999994,2.0,1000.0,1.0,90.0
108,220.0,-12.635000000000002,2.1025,1.6800000000000002,0.42250000000000004,2.0,1000.0,1.0,90.0
109,222.00000000000003,-12.6725,2.045,1.6125,0.4325,2.0,1000.0,1.0,90.0
110,224.0,-12.7375,2.0975,1.6500000000000001,0.4475,2.0,1000.0,1.0,90.0
111,226.0,-12.620000000000003,2.265,1.8074999999999999,0.4575,2.0,1000.0,1.0,90.0
112,228.0,-12.549999999999999,2.0725,1.605,0.467499999999999,2.0,1000.0,1.0,90.0
113,230.0,-12.53,2.215,1.7574999999999998,0.457499999999999,2.0,1000.0,1.0,90.0
114,232.00000000000003,-12.635000000000002,2.2,1.7325,0.4675,2.0,1000.0,1.0,90.0
115,234.0,-12.53,2.155,1.6500000000000001,0.505,2.0,1000.0,1.0,90.0
116,236.0,-12.7075,2.2925,1.8225,0.46999999999999903,2.0,1000.0,1.0,90.0
117,238.0,-12.400000000000002,2.265,1.7825,0.48250000000000004,2.0,1000.0,1.0,90.0
118,240.0,-12.4275,2.205,1.7125000000000001,0.49250000000000005,2.0,1000.0,1.0,90.0
119,242.00000000000003,-12.480000000000002,2.25,1.765,0.484999999999999,2.0,1000.0,1.0,90.0
120,244.0,-12.677500000000002,2.2525,1.7874999999999999,0.464999999999999,2.0,1000.0,1.0,90.0
121,246.0,-12.325,2.215,1.7175000000000002,0.497499999999999,2.0,1000.0,1.0,90.0
122,248.0,-12.675,2.295,1.8074999999999999,0.487499999999999,2.0,1000.0,1.0,90.0
123,250.0,-12.6675,2.2800000000000002,1.7725,0.5075000000000001,2.0,1000.0,1.0,90.0
124,252.00000000000003,-12.7225,2.355,1.855,0.5,2.0,1000.0,1.0,90.0
125,254.0,-12.855,2.2475,1.7425,0.504999999999999,2.0,1000.0,1.0,90.0
126,256.0,-12.677500000000002,2.405,1.915,0.49,2.0,1000.0,1.0,90.0
127,258.0,-12.4775,2.2625,1.7674999999999998,0.495,2.0,1000.0,1.0,90.0
128,260.0,-12.575000000000001,2.3125,1.8199999999999998,0.492499999999999,2.0,1000.0,1.0,90.0
129,262.0,-12.3625,2.23,1.7249999999999999,0.504999999999999,2.0,1000.0,1.0,90.0
130,264.0,-12.435,2.27,1.7774999999999999,0.492499999999999,2.0,1000.0,1.0,90.0
131,266.0,-12.5425,2.2875,1.7825,0.504999999999999,2.0,1000.0,1.0,90.0
132,268.0,-12.145,2.1425,1.6375000000000002,0.505,2.0,1000.0,1.0,90.0
133,270.0,-12.264999999999999,2.12,1.6375000000000002,0.48250000000000004,2.0,1000.0,1.0,90.0
134,272.0,-12.6175,2.2875,1.775,0.5125,2.0,1000.0,1.0,90.0
